clr_ratio,sensattr,arch,fair_coeff,g_y_ratio,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.01, 0.99)",bck,laftr-eqodd,2.0,"(0.5, 0.5)",0.19664797008547005,0.5934161324786325,0.601963141025641,0.19944728546643,0.193688422865537
"(0.01, 0.99)",bck,laftr-eqodd,4.0,"(0.5, 0.5)",0.1973157051282051,0.5922809829059829,0.6032318376068376,0.1977359104138695,0.19680385284145407
"(0.01, 0.99)",bck,laftr-eqopp0,0.1,"(0.5, 0.5)",0.2696314102564102,0.6436298076923077,0.6228632478632479,0.30029014626217837,0.23797980198412305
"(0.01, 0.99)",bck,laftr-eqopp0,0.5,"(0.5, 0.5)",0.2000534188034188,0.5943509615384616,0.6036324786324787,0.20208035421333648,0.1978874782652743
"(0.01, 0.99)",bck,laftr-eqopp0,1.0,"(0.5, 0.5)",0.2832532051282051,0.6507077991452991,0.6294070512820512,0.31424459919743986,0.2512538142447657
"(0.01, 0.99)",bck,laftr-eqopp0,2.0,"(0.5, 0.5)",0.2063301282051282,0.5917467948717948,0.6130475427350427,0.1964194280547331,0.21644345557636804
"(0.01, 0.99)",bck,laftr-eqopp0,4.0,"(0.5, 0.5)",0.18295940170940164,0.6000934829059829,0.5806623931623932,0.21353359469487246,0.15142961913162403
"(0.01, 0.99)",bck,laftr-eqopp1,0.1,"(0.5, 0.5)",0.2585470085470085,0.6151175213675214,0.6410924145299145,0.2432864080972559,0.27414368759697344
"(0.01, 0.99)",bck,laftr-eqopp1,0.5,"(0.5, 0.5)",0.29026442307692296,0.6552483974358975,0.632678952991453,0.3224068938527191,0.257077564477392
"(0.01, 0.99)",bck,laftr-eqopp1,1.0,"(0.5, 0.5)",0.3362713675213675,0.6875667735042735,0.6452991452991453,0.38717819002244735,0.28376053975899374
"(0.01, 0.99)",bck,laftr-eqopp1,2.0,"(0.5, 0.5)",0.25,0.6052350427350427,0.6424278846153846,0.22380252119635421,0.27685255844837997
"(0.01, 0.99)",bck,laftr-eqopp1,4.0,"(0.5, 0.5)",0.2936030982905982,0.6512419871794871,0.6400240384615384,0.31450799969790083,0.2719766569872119
"(0.1, 0.1)",bck,laftr-dp,0.1,"(0.5, 0.5)",0.9925213675213675,0.9747596153846154,0.9474492521367521,0.9658801685846425,0.9796938473244952
"(0.1, 0.1)",bck,laftr-dp,0.5,"(0.5, 0.5)",0.9805021367521367,0.9748263888888888,0.9408386752136751,0.9697010362708315,0.962222871923965
"(0.1, 0.1)",bck,laftr-dp,1.0,"(0.5, 0.5)",0.9766292735042734,0.9736244658119659,0.9328258547008548,0.9646945022323505,0.9535532628792359
"(0.1, 0.1)",bck,laftr-dp,2.0,"(0.5, 0.5)",0.9752938034188033,0.9762286324786326,0.9385016025641025,0.965881312899613,0.9585642252196598
"(0.1, 0.1)",bck,laftr-dp,4.0,"(0.5, 0.5)",0.9875801282051282,0.9736912393162392,0.9414396367521368,0.9736514716202606,0.9616814170986082
"(0.1, 0.1)",bck,laftr-eqodd,0.1,"(0.5, 0.5)",0.9877804487179486,0.9754941239316239,0.9427751068376069,0.9558713136673442,0.9790163956088972
"(0.1, 0.1)",bck,laftr-eqodd,0.5,"(0.5, 0.5)",0.9819043803418803,0.9745592948717948,0.9439770299145299,0.9739150801779889,0.9647961863608884
"(0.1, 0.1)",bck,laftr-eqodd,1.0,"(0.5, 0.5)",0.9892494658119658,0.9758279914529915,0.9404380341880342,0.9731231622041504,0.9558538677625702
"(0.1, 0.1)",bck,laftr-eqodd,2.0,"(0.5, 0.5)",0.9857772435897436,0.9770966880341881,0.945713141025641,0.980375414372055,0.955990580425918
"(0.1, 0.1)",bck,laftr-eqodd,4.0,"(0.5, 0.5)",0.9823050213675214,0.9737580128205129,0.945579594017094,0.9724663254111369,0.9711627679056148
"(0.1, 0.1)",bck,laftr-eqopp0,0.1,"(0.5, 0.5)",0.9799679487179486,0.977230235042735,0.94017094017094,0.9487614246846215,0.9764353728462112
"(0.1, 0.1)",bck,laftr-eqopp0,0.5,"(0.5, 0.5)",0.993389423076923,0.9740251068376069,0.9445112179487181,0.9679892451037363,0.9730595666379257
"(0.1, 0.1)",bck,laftr-eqopp0,1.0,"(0.5, 0.5)",0.9774305555555557,0.9742922008547009,0.937633547008547,0.9694356072120138,0.9570742058497385
"(0.1, 0.1)",bck,laftr-eqopp0,2.0,"(0.5, 0.5)",0.990317841880342,0.977363782051282,0.9459802350427351,0.9629843755233939,0.9744110013225283
"(0.1, 0.1)",bck,laftr-eqopp0,4.0,"(0.5, 0.5)",0.9871794871794871,0.9735576923076924,0.9463808760683761,0.9607436507683867,0.985247916274368
"(0.1, 0.1)",bck,laftr-eqopp1,0.1,"(0.5, 0.5)",0.9790331196581197,0.9734909188034188,0.9447115384615384,0.9586361346787982,0.9841640706126688
"(0.1, 0.1)",bck,laftr-eqopp1,0.5,"(0.5, 0.5)",0.9920539529914528,0.9765625,0.9415731837606839,0.9720711206318117,0.9577511620301088
"(0.1, 0.1)",bck,laftr-eqopp1,1.0,"(0.5, 0.5)",0.9830395299145299,0.9728899572649573,0.9385016025641025,0.961401839933638,0.9699427051157956
"(0.1, 0.1)",bck,laftr-eqopp1,2.0,"(0.5, 0.5)",0.9945245726495727,0.9763621794871794,0.9486511752136751,0.9751008505589146,0.9694003693389229
"(0.1, 0.1)",bck,laftr-eqopp1,4.0,"(0.5, 0.5)",0.966746794871795,0.976161858974359,0.9357638888888888,0.9599552177537763,0.9592419522326064
