clr_ratio,sensattr,arch,adv_coeff,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.66, 0.33)",age,cfair,0.1,0.771794557238954,0.7826330532212885,0.8141119221411192,0.7580376285803764,0.8644768856447689
"(0.66, 0.33)",age,cfair,1.0,0.8445040790038644,0.7799719887955182,0.8248175182481751,0.8252680012526801,0.9440389294403894
"(0.66, 0.33)",age,cfair,10.0,0.9002218405610419,0.7739495798319328,0.8169099756690997,0.8907084869070848,0.9905109489051095
"(0.66, 0.33)",age,cfair,100.0,0.9209491095708356,0.7593837535014005,0.7844282238442822,0.9283033412830334,0.9849148418491485
"(0.66, 0.33)",age,cfair,1000.0,0.9424533316976426,0.6568627450980392,0.6757907542579075,0.9626123196261233,0.9491484184914842
"(0.66, 0.33)",age,cfair-eo,0.1,0.8103774356457912,0.7564425770308123,0.7406326034063261,0.8749102647491026,0.8260340632603406
"(0.66, 0.33)",age,cfair-eo,1.0,0.9006655216831257,0.7392156862745098,0.758029197080292,0.9377634843776348,0.9411192214111922
"(0.66, 0.33)",age,cfair-eo,10.0,0.9524361569445295,0.704201680672269,0.748661800486618,0.9686300016863001,0.9844282238442822
"(0.66, 0.33)",age,cfair-eo,100.0,0.9661728925146701,0.6635854341736694,0.714720194647202,0.9766905157669051,0.983698296836983
"(0.66, 0.33)",age,cfair-eo,1000.0,0.9786031200801487,0.5053221288515406,0.5686131386861314,0.9851412878514129,0.9664233576642336
