clr_ratio,sensattr,arch,adv_coeff,g_y_ratio,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.01, 0.99)",bck,cfair,1.0,"(0.5, 0.5)",0.07284989316239314,0.5006009615384617,0.570579594017094,0.016851494340114088,0.13043483766816533
"(0.01, 0.99)",bck,cfair,10.0,"(0.5, 0.5)",0.00767895299145301,0.4927884615384617,0.5145566239316239,0.00013170025023042284,0.015440877691995092
"(0.01, 0.99)",bck,cfair,100.0,"(0.5, 0.5)",0.06456997863247864,0.4927884615384617,0.5677083333333334,0.0038193072566837794,0.1270486252201002
"(0.01, 0.99)",bck,cfair,1000.0,"(0.5, 0.5)",0.0,0.4927884615384617,0.507011217948718,0.0,0.0
"(0.1, 0.1)",bck,cfair,0.1,"(0.5, 0.5)",0.9381677350427351,0.9619391025641025,0.86451655982906,0.9174068303952526,0.8873219514397501
"(0.1, 0.1)",bck,cfair,1.0,"(0.5, 0.5)",0.9623397435897436,0.9622061965811967,0.8889556623931624,0.9350578888137803,0.9182069002729848
"(0.1, 0.1)",bck,cfair,10.0,"(0.5, 0.5)",0.9196047008547009,0.9321581196581197,0.8277911324786325,0.9174233189336899,0.8510367147556076
"(0.1, 0.1)",bck,cfair,100.0,"(0.5, 0.5)",0.9091880341880342,0.9545272435897436,0.8637820512820512,0.965352951469186,0.8415422047353346
"(0.1, 0.1)",bck,cfair,1000.0,"(0.5, 0.5)",0.8161725427350429,0.9350293803418802,0.7467280982905983,0.924928308667104,0.6223969809791555
"(0.1, 0.9)",bck,cfair,0.1,"(0.5, 0.5)",0.6386885683760685,0.8239182692307692,0.7941372863247863,0.6729913995367397,0.6031448317327546
"(0.1, 0.9)",bck,cfair,1.0,"(0.5, 0.5)",0.6538461538461539,0.852363782051282,0.780048076923077,0.7298627612653128,0.5753793872761971
"(0.1, 0.9)",bck,cfair,10.0,"(0.5, 0.5)",0.4795673076923077,0.7445245726495727,0.7142761752136751,0.5165930351997526,0.44128683891471177
"(0.1, 0.9)",bck,cfair,100.0,"(0.5, 0.5)",0.5777243589743589,0.7961404914529915,0.7594818376068376,0.6196742280919337,0.5343383338343745
"(0.1, 0.9)",bck,cfair,1000.0,"(0.5, 0.5)",0.47943376068376065,0.7560763888888888,0.7076655982905983,0.534364194675856,0.42273003571157214
"(0.5, 0.5)",bck,cfair,0.1,"(0.5, 0.5)",0.9617387820512819,0.9542601495726496,0.9302216880341879,0.9566671327149455,0.9649169868374831
