clr_ratio,sensattr,arch,fair_coeff,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.06, 0.36)",age,laftr-dp,0.1,0.821698859143793,0.5912518853695324,0.7011747430249633,0.9183416999624354,0.7195301027900146
"(0.06, 0.36)",age,laftr-dp,0.5,0.8298150842851543,0.5912518853695324,0.7019089574155654,0.9272342314653553,0.7268722466960352
"(0.06, 0.36)",age,laftr-dp,1.0,0.8232669550368437,0.5965309200603318,0.7092511013215859,0.9226650274903528,0.7180616740088105
"(0.06, 0.36)",age,laftr-dp,2.0,0.8113002571411485,0.5867269984917044,0.7099853157121879,0.9212785575248438,0.6960352422907489
"(0.06, 0.36)",age,laftr-dp,4.0,0.8148517285599431,0.5822021116138764,0.7077826725403819,0.9271522726496602,0.697503671071953
"(0.06, 0.36)",age,laftr-eqodd,0.1,0.8193766154377712,0.5867269984917044,0.7033773861967694,0.9227469863060479,0.7107195301027901
"(0.06, 0.36)",age,laftr-eqodd,0.5,0.8215991920319466,0.5859728506787331,0.7048458149779736,0.9272342314653552,0.7107195301027899
"(0.06, 0.36)",age,laftr-eqodd,1.0,0.8222536727330715,0.5844645550527904,0.7041116005873715,0.9286207014308644,0.7107195301027901
"(0.06, 0.36)",age,laftr-eqodd,2.0,0.8246357167062013,0.5897435897435898,0.7011747430249633,0.922828945121743,0.7209985315712188
"(0.06, 0.36)",age,laftr-eqodd,4.0,0.8303499644520634,0.583710407239819,0.7011747430249633,0.9345763753713757,0.7209985315712188
"(0.06, 0.36)",age,laftr-eqopp0,0.1,0.8231274210802586,0.5897435897435898,0.7026431718061673,0.9227469863060479,0.7180616740088105
"(0.06, 0.36)",age,laftr-eqopp0,0.5,0.8208649776413446,0.5874811463046757,0.7055800293685756,0.9256838438684561,0.7107195301027901
"(0.06, 0.36)",age,laftr-eqopp0,1.0,0.8304695649862791,0.5882352941176471,0.7011747430249633,0.9301710890277635,0.7254038179148311
"(0.06, 0.36)",age,laftr-eqopp0,2.0,0.8253300642520648,0.5882352941176471,0.7033773861967695,0.9272342314653552,0.7180616740088105
"(0.06, 0.36)",age,laftr-eqopp0,4.0,0.8283267220815809,0.5904977375565611,0.7055800293685756,0.9301710890277635,0.7209985315712188
"(0.06, 0.36)",age,laftr-eqopp1,0.1,0.8230476873907815,0.5852187028657617,0.7026431718061673,0.9272342314653553,0.7136563876651983
"(0.06, 0.36)",age,laftr-eqopp1,0.5,0.8201307632507424,0.5859728506787331,0.7048458149779736,0.9257658026841512,0.7092511013215859
"(0.06, 0.36)",age,laftr-eqopp1,1.0,0.8179879203460443,0.5882352941176471,0.7048458149779736,0.9213605163405388,0.7092511013215859
"(0.06, 0.36)",age,laftr-eqopp1,2.0,0.810665709862393,0.5904977375565611,0.7099853157121879,0.9168732711812314,0.6989720998531572
"(0.06, 0.36)",age,laftr-eqopp1,4.0,0.8275526408462403,0.5904977375565611,0.7033773861967695,0.9271522726496602,0.7224669603524229
"(0.1, 0.1)",age,laftr-dp,0.1,0.934425265754956,0.6460905349794238,0.7107728337236535,0.9737435872350053,0.8774395003903201
"(0.1, 0.1)",age,laftr-dp,0.5,0.9550948815065391,0.6584362139917695,0.7072599531615925,0.9786964736671537,0.9125683060109289
"(0.1, 0.1)",age,laftr-dp,1.0,0.9553493123620628,0.6625514403292181,0.7111631537861046,0.9787861555613985,0.9125683060109289
"(0.1, 0.1)",age,laftr-dp,2.0,0.9474667746070297,0.6534979423868312,0.709992193598751,0.9787861555613985,0.897736143637783
"(0.1, 0.1)",age,laftr-dp,4.0,0.9516330798662311,0.6477366255144034,0.7096018735362998,0.988512564637206,0.8969555035128806
"(0.1, 0.1)",age,laftr-eqodd,0.1,0.9463170169909697,0.657201646090535,0.7107728337236535,0.9745242273599078,0.8992974238875879
"(0.1, 0.1)",age,laftr-eqodd,0.5,0.9502202176154818,0.657201646090535,0.7107728337236535,0.9784274279844198,0.9032006245120998
"(0.1, 0.1)",age,laftr-eqodd,1.0,0.9499359104094988,0.6543209876543209,0.7107728337236535,0.981307439724595,0.9000780640124901
"(0.1, 0.1)",age,laftr-eqodd,2.0,0.9433939534121683,0.6510288065843621,0.7131147540983607,0.9802577539169586,0.888368462138954
"(0.1, 0.1)",age,laftr-eqodd,4.0,0.948828557936026,0.657201646090535,0.7115534738485558,0.978005515436496,0.9008587041373927
"(0.1, 0.1)",age,laftr-eqopp0,0.1,0.9497662898391495,0.6576131687242799,0.7123341139734581,0.9790287043208329,0.9016393442622951
"(0.1, 0.1)",age,laftr-eqopp0,0.5,0.9439114889023815,0.6510288065843621,0.7103825136612022,0.9781848792249853,0.8914910226385636
"(0.1, 0.1)",age,laftr-eqopp0,1.0,0.9444078218213008,0.6547325102880658,0.711943793911007,0.9764442351866912,0.8938329430132709
"(0.1, 0.1)",age,laftr-eqopp0,2.0,0.9506741453918138,0.6551440329218107,0.7068696330991413,0.9772248753115936,0.9055425448868072
"(0.1, 0.1)",age,laftr-eqopp0,4.0,0.9464654349900252,0.6526748971193416,0.7142857142857143,0.983137765657134,0.8914910226385637
