table_type,clr_ratio,sensattr,arch,g_y_ratio,DP_mean_max,0-acc_mean_max,1-acc_mean_max,EqOp0_mean_max,EqOp1_mean_max,DP_std_corresp,0-acc_std_corresp,1-acc_std_corresp,EqOp0_std_corresp,EqOp1_std_corresp
4,"(0.5, 0.5)",bck,laftr-eqodd,"(0.75, 0.25)",0.9973958333333334,0.9644764957264957,0.9517227564102564,0.9841816660352128,0.9869984770550673,0.0038375889544607334,0.002849437539176452,0.005341462991175274,0.007383526496862392,0.008396681605804094
4,"(0.5, 0.5)",bck,laftr-eqodd,"(0.9, 0.1)",0.9730902777777778,0.9415064102564102,0.9081196581196581,0.9706268390962075,0.9734550037495499,0.04133323063580481,0.006255006008011188,0.014837697698912878,0.0024190261216468795,0.04176380505936361
4,"(0.5, 0.5)",bck,laftr-eqopp0,"(0.5, 0.5)",0.9946581196581196,0.9736912393162394,0.9570646367521368,0.9905172698975049,0.9857926746679088,0.0044312660317939664,0.0009252408160090925,0.0065168340331006255,0.00919961344961772,0.01904366866943303
4,"(0.5, 0.5)",bck,laftr-eqopp0,"(0.75, 0.25)",0.9925213675213675,0.9686832264957266,0.9459802350427351,0.9902427383332407,0.9767204157210202,0.004507582487109462,0.004279238774041724,0.0020559300638809002,0.008291501440318497,0.007672405904055013
4,"(0.5, 0.5)",bck,laftr-eqopp0,"(0.9, 0.1)",0.9730235042735043,0.9418402777777777,0.8961004273504273,0.9698365855805079,0.9545198318704032,0.018451610768673736,0.009657720412267567,0.023058912706446853,0.027804053031841774,0.03818240606771517
4,"(0.5, 0.5)",bck,laftr-eqopp1,"(0.5, 0.5)",0.9931223290598291,0.9754941239316238,0.9560630341880344,0.9873497020307845,0.988908490060114,0.007772160537901385,0.004444828857009174,0.0021974469380213564,0.015183435791525307,0.003284208732338576
4,"(0.5, 0.5)",bck,laftr-eqopp1,"(0.75, 0.25)",0.9899839743589743,0.9654113247863249,0.9499866452991453,0.9848434962026428,0.9826520274548539,0.006549592437608736,0.0005041289019277883,0.006650922594698586,0.011200687006450596,0.011876157876270572
4,"(0.5, 0.5)",bck,laftr-eqopp1,"(0.9, 0.1)",0.9662793803418803,0.9347622863247863,0.899238782051282,0.9615427987322654,0.962212961219413,0.02750622643025284,0.009485833770274578,0.013177070543023844,0.03088653322165873,0.04189776338871775
4,"(0.5, 0.5)",color_gy,laftr-dp,"(0.5, 0.5)",0.9967331008218827,0.9647506509112759,0.9658719027582983,0.9983053210142588,0.9971581605291876,0.00031102319708010035,0.0036437823750570977,0.006612913267607909,0.00162058380263028,0.0017568575499942844
4,"(0.5, 0.5)",color_gy,laftr-dp,"(0.75, 0.25)",0.9473115029176826,0.9626143267240804,0.9505777065384358,0.9609326065890716,0.9394635996339646,0.01079156383725819,0.004502227198100495,0.011249377667616658,0.006913785149354319,0.01970907587215879
4,"(0.5, 0.5)",color_gy,laftr-dp,"(0.9, 0.1)",0.8629783694099542,0.9254956939715601,0.9182528551392507,0.8744699609424372,0.8592756486280831,0.008106787452767859,0.011145743303005547,0.016658876499920493,0.017488298714374545,0.030651113925720543
4,"(0.5, 0.5)",color_gy,laftr-eqodd,"(0.5, 0.5)",0.9979952565395468,0.9639495293410775,0.9664061978227476,0.9975369652861543,0.9970249166124331,0.0017785744922629687,0.004020600821126465,0.00117400626669654,0.001783717595202061,0.0022190719412838174
4,"(0.5, 0.5)",color_gy,laftr-eqodd,"(0.75, 0.25)",0.9478422399386925,0.9610120835836838,0.9525145261470648,0.9611953309854062,0.9428496469036206,0.008836616659126396,0.0011030583912049682,0.003678132588797024,0.00023306709680993046,0.0032603155602473326
