clr_ratio,sensattr,arch,gamma,alpha,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.33, 0.33)",age,ffvae,10.0,1000,0.9419514536131949,0.5056056877221767,0.5574297188755021,0.9835539980542455,0.8995983935742972
"(0.33, 0.33)",age,ffvae,50.0,10,0.7663651049371124,0.5296691277003007,0.7077643908969211,0.9342786064627328,0.5967871485943775
"(0.33, 0.33)",age,ffvae,50.0,100,0.8703614018557136,0.49165983046212736,0.5911646586345382,0.9593745756987154,0.7812583668005355
"(0.33, 0.33)",age,ffvae,50.0,1000,0.9016570520528929,0.5392398140552365,0.6248995983935743,0.977713143717648,0.8235609103078984
"(0.33, 0.33)",age,ffvae,100.0,10,0.7898893358503744,0.5720535958435876,0.7198125836680053,0.9279016036204051,0.6484605087014726
"(0.33, 0.33)",age,ffvae,100.0,100,0.8162544627511963,0.5694558381186765,0.6014725568942436,0.9233776682589537,0.7108433734939759
"(0.33, 0.33)",age,ffvae,100.0,1000,0.885173288175947,0.5023243095433415,0.592235609103079,0.9647300013128793,0.805087014725569
"(0.5, 0.5)",age,ffvae,10.0,10,0.9390782824487597,0.6812752664461595,0.7380952380952381,0.9784503212979813,0.8958560523446021
"(0.5, 0.5)",age,ffvae,10.0,100,0.8934960806073525,0.5803013597941933,0.6719374772809887,0.9629248024535113,0.8049800072700837
"(0.5, 0.5)",age,ffvae,10.0,1000,0.9405162681145915,0.5547592796765896,0.5955107233733188,0.981084409561011,0.895129043984006
"(0.5, 0.5)",age,ffvae,50.0,10,0.9411726396375059,0.6817346563763321,0.7437295528898581,0.982967782669077,0.8794983642311887
"(0.5, 0.5)",age,ffvae,50.0,100,0.928192494500346,0.6970782800441014,0.7167393675027262,0.9545121324079173,0.9029443838604143
"(0.5, 0.5)",age,ffvae,50.0,1000,0.8135637356687374,0.5830576993752298,0.6743911304980008,0.9309712856012226,0.6961105052708106
"(0.5, 0.5)",age,ffvae,100.0,10,0.9223367507535597,0.6650128629180448,0.7359142130134497,0.9885550891193108,0.8524173027989823
"(0.5, 0.5)",age,ffvae,100.0,100,0.857858042600125,0.6235758912164645,0.7181933842239187,0.947741309838887,0.7651762995274446
"(0.5, 0.5)",age,ffvae,100.0,1000,0.9338199960964381,0.5282984196986402,0.5823336968375137,0.9825003333134763,0.8844056706652127
"(0.5, 0.5)",sex,ffvae,10.0,10,0.8354076012536895,0.660389202762084,0.7163375224416516,0.8685544317447903,0.7851585876720527
"(0.5, 0.5)",sex,ffvae,10.0,100,0.7623016315771086,0.5514752040175769,0.6986834230999402,0.8856094945221632,0.6319569120287253
"(0.5, 0.5)",sex,ffvae,10.0,1000,0.8682053778819139,0.6304143126177024,0.6997307001795332,0.9141546829727857,0.807899461400359
"(0.5, 0.5)",sex,ffvae,50.0,10,0.8041211494182919,0.6588198367859385,0.727707959305805,0.8504340200626884,0.7408737283064033
"(0.5, 0.5)",sex,ffvae,50.0,100,0.8102740783567245,0.5973006905210295,0.6956912028725314,0.8851520699646267,0.7241172950329143
"(0.5, 0.5)",sex,ffvae,50.0,1000,0.8623849178576379,0.6509730069052103,0.7103530819868342,0.9011168980452803,0.781567923399162
"(0.5, 0.5)",sex,ffvae,100.0,10,0.8033384387034389,0.6490897677338355,0.7193297426690605,0.8509708421470513,0.7396768402154398
"(0.5, 0.5)",sex,ffvae,100.0,100,0.6867196137500127,0.5392341494036409,0.7259126271693597,0.849271498065426,0.5182525433871933
"(0.5, 0.5)",sex,ffvae,100.0,1000,0.7567189713524497,0.5561833019460138,0.7064631956912027,0.8829692304957605,0.6229802513464991
