table_type,clr_ratio,sensattr,arch,DP_mean_max,0-acc_mean_max,1-acc_mean_max,EqOp0_mean_max,EqOp1_mean_max,DP_std_corresp,0-acc_std_corresp,1-acc_std_corresp,EqOp0_std_corresp,EqOp1_std_corresp
4,"(0.33, 0.33)",age,laftr-dp,0.9471933124897731,0.6709051134809952,0.7317269076305221,0.9950193621650616,0.8910307898259706,0.013325178800111552,0.006976948767937087,0.0008032128514055825,0.00510484589559639,0.02095036161658862
4,"(0.33, 0.33)",age,laftr-eqodd,0.9454615838250459,0.671862182116489,0.734136546184739,0.99570924098742,0.8878179384203481,0.012490552814800944,0.0039555581464285556,0.006463243750775614,0.0028172566967243256,0.01654566485192005
4,"(0.33, 0.33)",age,laftr-eqopp0,0.9506967437702684,0.6724090784796282,0.734136546184739,0.9943438464671764,0.8974564926372155,0.013398772150522518,0.004499448365300611,0.0028112449799196737,0.0045940127842489815,0.019745535815252763
4,"(0.33, 0.33)",age,laftr-eqopp1,0.9436670389515404,0.6711785616625651,0.734805890227577,0.9949060281360143,0.8848728246318608,0.01342372532409697,0.005761910720728851,0.0043316438252646175,0.004907587895673964,0.021706570343999237
4,"(0.5, 0.5)",age,laftr-dp,0.9659231863966878,0.6934031606027196,0.7446383133406034,0.99394645992721,0.9178480552526356,0.010178808626374882,0.00398797030764622,0.003159821637716063,0.002285998445142296,0.019677129639970325
4,"(0.5, 0.5)",age,laftr-eqodd,0.9648547165569141,0.6929437706725469,0.7436386768447837,0.9946815731747692,0.9160305343511451,0.012778237729723831,0.004899776415278723,0.002533144286580548,0.004280882550986007,0.022633061701763515
4,"(0.5, 0.5)",age,laftr-eqopp0,0.9617519057919002,0.6928518926865124,0.7455470737913487,0.9952430392191428,0.9136677571792076,0.014230262971097076,0.006097265719602035,0.0047871927266688145,0.0039709385411430265,0.021846570994280945
4,"(0.5, 0.5)",age,laftr-eqopp1,0.9623392435826684,0.6950569643513415,0.7478189749182116,0.9943221214379528,0.9118502362777171,0.009210811873928823,0.002972930850305634,0.003144101034534039,0.0036154177834046464,0.022727006953603166
4,"(0.5, 0.5)",sex,laftr-dp,0.9419035930310007,0.6889516635279347,0.7112507480550568,0.9418810103631549,0.9233991621783364,0.0018493885959987306,0.006053766956053316,0.005976955223051518,0.0054656647511676665,0.004518153462160958
4,"(0.5, 0.5)",sex,laftr-eqodd,0.939785935099814,0.6820464532328939,0.7130460801915021,0.9435530985773622,0.9180131657690006,0.004165919329698977,0.012503819389229186,0.0067374806996994135,0.0037682796233588956,0.016681460041611484
4,"(0.5, 0.5)",sex,laftr-eqopp0,0.9385450934913857,0.684871311989956,0.7124476361460204,0.9430162764929994,0.9150209455415919,0.004303081628370444,0.0028766953515102205,0.0013712075688078942,0.008383783207644664,0.009036306924321624
4,"(0.5, 0.5)",sex,laftr-eqopp1,0.9324580948291504,0.6795354676710609,0.7124476361460204,0.9416961444797982,0.9042489527229205,0.006163176597050372,0.004245997884014013,0.005976955223051514,0.009997633653734675,0.010519686314330942
4,"(0.66, 0.33)",age,laftr-dp,0.8794980625394251,0.7285185185185186,0.6731143552311436,0.9396483910506194,0.8270072992700731,0.0018117085104465028,0.002592592592592591,0.00827697746626472,0.004379882977825301,0.005793616009630512
4,"(0.66, 0.33)",age,laftr-eqodd,0.8814823826259349,0.7260493827160494,0.670316301703163,0.9414539999634121,0.8282238442822384,0.005889120619895179,0.003728313301368278,0.010478542229999456,0.004225894388069706,0.01105383619620487
4,"(0.66, 0.33)",age,laftr-eqopp0,0.8836631522032982,0.7241975308641976,0.6718978102189781,0.9422058796626603,0.8333333333333334,0.006840569501902619,0.00301649178342477,0.007541597926923979,0.004874017766447838,0.013145442977362665
4,"(0.66, 0.33)",age,laftr-eqopp1,0.8853681175092367,0.7262962962962963,0.6736009732360096,0.940709437828147,0.8369829683698297,0.010665762871116253,0.0006415002990995562,0.007693144405723724,0.00545554577204982,0.01733992778841545
