clr_ratio,sensattr,arch,gamma,alpha,g_y_ratio,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.01, 0.99)",bck,ffvae,10.0,100,"(0.5, 0.5)",0.014756944444444383,0.4927884615384617,0.5216346153846154,0.00013170025023042284,0.029798185019639673
"(0.01, 0.99)",bck,ffvae,10.0,1000,"(0.5, 0.5)",0.01782852564102555,0.4927884615384617,0.5247061965811967,0.00013170025023042284,0.03602871461465521
"(0.01, 0.99)",bck,ffvae,50.0,10,"(0.5, 0.5)",0.026976495726495704,0.4927884615384617,0.5333199786324786,0.0006585012511522622,0.05404307192198288
"(0.01, 0.99)",bck,ffvae,50.0,100,"(0.5, 0.5)",0.016493055555555542,0.49285523504273515,0.523170405982906,0.00039504873637452587,0.033048896112691316
"(0.01, 0.99)",bck,ffvae,50.0,1000,"(0.5, 0.5)",0.02183493589743583,0.49298878205128216,0.5281116452991453,0.000921745708662769,0.04334281457402137
"(0.01, 0.99)",bck,ffvae,100.0,10,"(0.5, 0.5)",0.014222756410256351,0.49285523504273515,0.5209001068376069,0.0003950487363745629,0.0284437220642015
"(0.01, 0.99)",bck,ffvae,100.0,100,"(0.5, 0.5)",0.014423076923076908,0.4927884615384617,0.5211672008547009,0.0002634005004609197,0.02898550724637672
"(0.01, 0.99)",bck,ffvae,100.0,1000,"(0.5, 0.5)",0.014289529914529845,0.4927884615384617,0.5211672008547009,0.00013170025023042284,0.028850060950833017
"(0.1, 0.1)",bck,ffvae,10.0,10,"(0.5, 0.5)",0.9397702991452991,0.8969017094017094,0.8474225427350427,0.9881625817743082,0.888559633259884
"(0.1, 0.1)",bck,ffvae,10.0,100,"(0.5, 0.5)",0.9559294871794871,0.9118589743589743,0.8617120726495727,0.9860528810834124,0.9042689809262985
"(0.1, 0.1)",bck,ffvae,10.0,1000,"(0.5, 0.5)",0.9533920940170938,0.9046474358974358,0.8502270299145299,0.9924483534243832,0.8973629817565953
"(0.1, 0.1)",bck,ffvae,50.0,10,"(0.5, 0.5)",0.9559294871794872,0.9077190170940171,0.8539663461538461,0.9864198941030121,0.9006096184488867
"(0.1, 0.1)",bck,ffvae,50.0,100,"(0.5, 0.5)",0.9512553418803419,0.9079193376068377,0.8585737179487181,0.9811539126521497,0.9003397169282543
"(0.1, 0.1)",bck,ffvae,50.0,1000,"(0.5, 0.5)",0.9626736111111112,0.9125934829059829,0.8641159188034188,0.9765487210823806,0.9128007210588156
"(0.1, 0.1)",bck,ffvae,100.0,10,"(0.5, 0.5)",0.9370993589743589,0.8991720085470085,0.8446180555555557,0.9868141106103172,0.8807027019884176
"(0.1, 0.1)",bck,ffvae,100.0,100,"(0.5, 0.5)",0.9528579059829059,0.8993723290598291,0.8526976495726496,0.9924763371268416,0.9046763659428549
"(0.1, 0.1)",bck,ffvae,100.0,1000,"(0.5, 0.5)",0.9674145299145299,0.9145966880341881,0.8684561965811964,0.9786560291147017,0.9199797050794564
"(0.1, 0.9)",bck,ffvae,10.0,10,"(0.5, 0.5)",0.42788461538461536,0.7166132478632479,0.6925080128205128,0.45958960912073127,0.3950985509448756
"(0.1, 0.9)",bck,ffvae,10.0,100,"(0.5, 0.5)",0.4495192307692308,0.7234241452991453,0.7051949786324787,0.47512467311602585,0.4230007631242505
"(0.1, 0.9)",bck,ffvae,10.0,1000,"(0.5, 0.5)",0.4439102564102564,0.7227564102564102,0.6990518162393163,0.47499364905191427,0.41175855541570444
"(0.1, 0.9)",bck,ffvae,50.0,10,"(0.5, 0.5)",0.43723290598290604,0.7065304487179488,0.7053952991452991,0.44616403775906516,0.42787655446647926
"(0.1, 0.9)",bck,ffvae,50.0,100,"(0.5, 0.5)",0.41820245726495725,0.7063301282051282,0.6913728632478632,0.44102731188554184,0.39455737141686736
"(0.1, 0.9)",bck,ffvae,50.0,1000,"(0.5, 0.5)",0.44264155982905984,0.7216880341880342,0.6983173076923076,0.4734138182066337,0.4108107066442464
"(0.1, 0.9)",bck,ffvae,100.0,10,"(0.5, 0.5)",0.4158653846153846,0.7024572649572649,0.6937099358974358,0.43260244895887107,0.39848432291718283
"(0.1, 0.9)",bck,ffvae,100.0,100,"(0.5, 0.5)",0.4304220085470085,0.7086672008547009,0.6999198717948718,0.446952314730725,0.41324862984509564
"(0.1, 0.9)",bck,ffvae,100.0,1000,"(0.5, 0.5)",0.43175747863247854,0.7131410256410257,0.6970486111111112,0.45550945006511157,0.4071534364266844
"(0.5, 0.5)",bck,ffvae,10.0,10,"(0.5, 0.5)",0.9796340811965814,0.9204727564102565,0.8959001068376068,0.9926131867944387,0.9542428276781751
"(0.5, 0.5)",bck,ffvae,10.0,10,"(0.75, 0.25)",0.9813034188034188,0.9213408119658121,0.8975026709401709,0.9950897444619837,0.9566825127820558
"(0.5, 0.5)",bck,ffvae,10.0,10,"(0.9, 0.1)",0.9765625,0.8799412393162394,0.8492254273504273,0.9831305087062604,0.946404451448009
"(0.5, 0.5)",bck,ffvae,10.0,100,"(0.5, 0.5)",0.9720886752136751,0.921607905982906,0.8965678418803419,0.994347604189358,0.9461177017296384
"(0.5, 0.5)",bck,ffvae,10.0,100,"(0.75, 0.25)",0.9732905982905984,0.920005341880342,0.8926949786324787,0.9945889506194802,0.9450339111274086
"(0.5, 0.5)",bck,ffvae,10.0,100,"(0.9, 0.1)",0.953258547008547,0.8700587606837606,0.8411458333333334,0.97355134406035,0.9231081290902304
"(0.5, 0.5)",bck,ffvae,10.0,1000,"(0.5, 0.5)",0.9748263888888888,0.9227430555555557,0.8960336538461539,0.99788083270344,0.947200776558761
"(0.5, 0.5)",bck,ffvae,10.0,1000,"(0.75, 0.25)",0.9798344017094017,0.9214075854700855,0.8990384615384617,0.9940868044047386,0.9566832285551624
"(0.5, 0.5)",bck,ffvae,10.0,1000,"(0.9, 0.1)",0.9766292735042734,0.8966346153846153,0.8554353632478633,0.9786459903515524,0.9343424082351347
"(0.5, 0.5)",bck,ffvae,50.0,10,"(0.5, 0.5)",0.9801014957264957,0.9231436965811967,0.8974358974358975,0.994431659325366,0.9535662018546232
"(0.5, 0.5)",bck,ffvae,50.0,10,"(0.75, 0.25)",0.9801682692307692,0.9157318376068376,0.8859508547008547,0.990346454881013,0.9495062817349019
"(0.5, 0.5)",bck,ffvae,50.0,10,"(0.9, 0.1)",0.9724225427350426,0.8901575854700855,0.8561030982905983,0.9937581779509644,0.9373239886401302
"(0.5, 0.5)",bck,ffvae,50.0,100,"(0.5, 0.5)",0.9815037393162394,0.9236778846153846,0.8965678418803419,0.9916674104713974,0.9535673030440178
"(0.5, 0.5)",bck,ffvae,50.0,100,"(0.75, 0.25)",0.9809027777777778,0.927417200854701,0.892094017094017,0.9841615364945971,0.9446258653972155
"(0.5, 0.5)",bck,ffvae,50.0,100,"(0.9, 0.1)",0.9705528846153846,0.8818108974358975,0.8556356837606837,0.9921154617966287,0.9434213293778612
"(0.5, 0.5)",bck,ffvae,50.0,1000,"(0.5, 0.5)",0.978298611111111,0.9228098290598291,0.8985042735042734,0.9968274387588636,0.9531607989789772
"(0.5, 0.5)",bck,ffvae,50.0,1000,"(0.75, 0.25)",0.9778979700854701,0.9142628205128206,0.8859508547008547,0.9927419742429264,0.9486924477127746
"(0.5, 0.5)",bck,ffvae,50.0,1000,"(0.9, 0.1)",0.9763621794871796,0.9005742521367521,0.875801282051282,0.991190803286223,0.9507297031523749
"(0.5, 0.5)",bck,ffvae,100.0,10,"(0.5, 0.5)",0.9815037393162394,0.9234107905982905,0.8968349358974358,0.9919539053285339,0.9541086477504352
"(0.5, 0.5)",bck,ffvae,100.0,10,"(0.75, 0.25)",0.9744925213675216,0.9238114316239315,0.8986378205128206,0.9915583364489909,0.9484184167319123
"(0.5, 0.5)",bck,ffvae,100.0,10,"(0.9, 0.1)",0.9799011752136751,0.9135950854700855,0.8878205128205128,0.9914263241128595,0.9533008152105089
"(0.5, 0.5)",bck,ffvae,100.0,100,"(0.5, 0.5)",0.984642094017094,0.9224091880341881,0.896968482905983,0.9902203201626841,0.9584461226570818
"(0.5, 0.5)",bck,ffvae,100.0,100,"(0.75, 0.25)",0.9833066239316239,0.9188034188034188,0.8948317307692308,0.9919544254717022,0.9585799722280034
"(0.5, 0.5)",bck,ffvae,100.0,100,"(0.9, 0.1)",0.9708867521367521,0.889155982905983,0.8641159188034188,0.9826041238198732,0.9449093666068721
"(0.5, 0.5)",bck,ffvae,100.0,1000,"(0.5, 0.5)",0.9774305555555555,0.9214743589743589,0.8937633547008548,0.9950885481326965,0.9488252511537713
"(0.5, 0.5)",bck,ffvae,100.0,1000,"(0.75, 0.25)",0.9807024572649573,0.9203392094017094,0.8925614316239315,0.9905063468909691,0.9520775039119753
